survey_year,ResponseId,StartDate,RecordedDate,Status,Finished,Duration_sec,Progress,DistributionChannel,Grad_year,Major_raw,Major1,Major2,Minor_raw,Minor1,Major_minor_inferred,Transfer_student,Gender,Race_ethnicity,Participant_code,EndDate,Consent,CE_definition_text,CE_define_open,CESA_1,CESA_2,CESA_3,CESA_4,CESA_5,CESA_6,CESA_7,CESA_8,CESA_9,CESA_10,Community_ref,Community_ref_other,Volunteer_yn,Volunteer_hrs_month,Civic_duty_1,Civic_duty_2,Civic_duty_3,Civic_duty_4,Civic_duty_5,Civic_duty_6,CE_activity_1,CE_activity_2,CE_activity_3,CE_activity_4,CE_activity_5,CE_activity_6,Media_CE_activities,Local_news_yn,Local_news_which,Local_news_connected,Local_news_CE_yn,CE_campus_1,CE_campus_2,CE_campus_3,CE_campus_4,CE_campus_5,CE_campus_6,CE_campus_7,CE_campus_8,Know_WC_CE_mission,Agree_CE_mission,WC_meeting_CE_mission,WC_CE_resources,Overall_CE_rating
SP23,R_3FXt7tudvOlhRfi,2023-03-28 12:34:34,2023-03-28 12:39:37,IP Address,True,301,100,anonymous,2024,BUS and CMS,BUS,CMS,-9,-9,-9,-9,2,European American or White,,2023-03-28 12:39:36,-9,-9,"Voting,Political engagement,Talking with people in the community,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",4,4,3,4,-9,-9,4,4,4,-9,2,-9,1,Less than 4 hours per month,3,3,2,1,1,3,-9,-9,-9,-9,-9,-9,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",0,-9,-9,4,4,4,2,4,5,4,4,4,1,-9,-9,-9,2
SP23,R_7WI4aWh6vEpFy3T,2023-03-28 12:33:36,2023-03-28 12:40:17,IP Address,True,399,100,anonymous,2024,English and CMS,ENG,CMS,-9,-9,-9,-9,2,European American or White,,2023-03-28 12:40:16,-9,-9,"Voting,Political engagement,Talking with people in the community,Fundraising,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",4,4,4,3,-9,-9,4,3,4,-9,2,-9,0,-9,3,3,4,4,4,3,-9,-9,-9,-9,-9,-9,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",1,The Elm,4,4,4,3,2,4,3,3,5,5,1,-9,-9,-9,4
SP23,R_1eIUbAaxO6eKNvV,2023-03-28 12:33:22,2023-03-28 12:40:31,IP Address,True,428,100,anonymous,2024,Human Development ,HDS,-9,-9,-9,-9,-9,2,European American or White,,2023-03-28 12:40:30,-9,-9,"Voting,Political engagement,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",4,4,3,4,-9,-9,4,4,3,-9,Somewhere else (please specify),The WAC and Chestertown communities,1,8 to 12 hours per month,3,3,4,3,4,3,-9,-9,-9,-9,-9,-9,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.",1,The Elm,4,4,4,3,2,4,5,4,5,5,1,-9,-9,-9,5
SP23,R_YaASjscU8lTrBAZ,2023-03-28 12:33:41,2023-03-28 12:40:35,IP Address,True,413,100,anonymous,2024,CMS,CMS,-9,-9,-9,-9,-9,1,European American or White,,2023-03-28 12:40:34,-9,-9,"Voting,Talking with people in the community,Making donations to charities,Protesting or rallying,Contributing to community businesses with a social cause",4,3,4,3,-9,-9,4,4,4,-9,2,-9,0,-9,3,3,2,3,3,2,-9,-9,-9,-9,-9,-9,"Following accounts/pages that post about current events.,Signing online petitions.,Liking posts regarding current events.",0,-9,-9,1,4,4,4,4,4,4,3,3,1,-9,-9,-9,2
SP23,R_1K9L16pYN6KhPL0,2023-03-28 12:34:45,2023-03-28 12:40:48,IP Address,True,362,100,anonymous,2024,Communications,CMS,-9,-9,-9,-9,-9,1,European American or White,,2023-03-28 12:40:47,-9,-9,"Fundraising,Making donations to charities,Volunteering or doing community service,Contributing to community businesses with a social cause",4,4,4,4,-9,-9,4,4,4,-9,5,-9,1,Less than 4 hours per month,2,3,2,2,2,3,-9,-9,-9,-9,-9,-9,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Liking posts regarding current events.",0,-9,-9,1,3,2,2,3,3,3,3,4,0,-9,-9,-9,4
SP23,R_3EuQfkb3PWGdoZr,2023-03-28 12:34:50,2023-03-28 12:41:12,IP Address,True,380,100,anonymous,2024,Human Development ,HDS,-9,-9,-9,-9,-9,1,African American or Black,,2023-03-28 12:41:11,-9,-9,"Voting,Political engagement,Talking with people in the community,Volunteering or doing community service",4,4,3,4,-9,-9,4,3,4,-9,2,-9,1,4 to 8 hours per month,3,3,2,3,3,3,-9,-9,-9,-9,-9,-9,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Liking posts regarding current events.",1,"The Elm,Kent County News",3,4,4,4,4,4,4,4,4,4,0,-9,-9,-9,3
SP23,R_DwKyRRIxTex2LOF,2023-03-28 12:34:21,2023-03-28 12:41:27,IP Address,True,425,100,anonymous,2023,Communications,CMS,-9,-9,-9,-9,-9,2,European American or White,,2023-03-28 12:41:26,-9,-9,"Voting,Political engagement,Fundraising,Making donations to charities,Volunteering or doing community service",3,3,4,2,-9,-9,4,4,4,-9,5,-9,1,4 to 8 hours per month,2,3,3,2,4,4,-9,-9,-9,-9,-9,-9,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.",0,-9,-9,4,3,4,2,2,3,3,2,2,1,-9,-9,-9,2
SP23,R_3fq9SsKovBz4uUw,2023-03-28 12:36:18,2023-03-28 12:41:57,IP Address,True,338,100,anonymous,2024,CMS,CMS,-9,-9,-9,-9,-9,2,African American or Black,,2023-03-28 12:41:57,-9,-9,"Voting,Political engagement,Volunteering or doing community service,Activism or awareness raising activities,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",4,4,4,4,-9,-9,4,4,4,-9,The Chestertown or local community,-9,1,Less than 4 hours per month,3,2,2,2,3,2,-9,-9,-9,-9,-9,-9,Reposting information regarding current events to your story/page/etc.,0,-9,-9,1,2,3,4,3,3,3,3,3,0,-9,-9,-9,3
SP23,R_u8veMJTxVbVIxih,2023-03-28 14:08:50,2023-03-28 14:14:13,IP Address,True,322,100,anonymous,2023,"History, German Studies",HIS,OTHER:GERMAN_STUDIES,-9,-9,-9,-9,2,European American or White,,2023-03-28 14:14:12,-9,-9,"Voting,Political engagement,Talking with people in the community,Protesting or rallying,Activism or awareness raising activities",4,4,4,4,-9,-9,4,4,4,-9,2,-9,0,-9,3,3,3,2,3,3,-9,-9,-9,-9,-9,-9,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.",1,The Elm,5,4,5,5,5,5,4,4,5,5,1,-9,-9,-9,4
SP23,R_TpgIJFlVLOtw4HT,2023-03-28 14:50:05,2023-03-28 14:54:19,IP Address,True,253,100,anonymous,2025,Human Development,HDS,-9,-9,-9,-9,-9,2,European American or White,,2023-03-28 14:54:18,-9,-9,"Voting,Political engagement,Talking with people in the community,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Contributing to community businesses with a social cause",4,4,4,4,-9,-9,4,4,4,-9,2,-9,0,-9,4,4,4,4,4,3,-9,-9,-9,-9,-9,-9,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.",0,-9,-9,4,4,3,4,5,4,3,5,5,0,-9,-9,-9,4
SP23,R_1H9UfmPBwRQ5vW1,2023-03-29 06:32:19,2023-03-29 06:36:24,IP Address,True,243,100,anonymous,2023,Chemistry & education ,CHE,EDU,-9,-9,-9,-9,2,European American or White,,2023-03-29 06:36:22,Yes (continue to survey),-9,"Voting,Talking with people in the community,Teaching or mentorship,Fundraising,Making donations to charities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",4,4,4,4,3,3,4,4,4,4,The Chestertown or local community,-9,1,Less than 4 hours per month,2,3,2,2,2,3,1,3,1,1,1,3,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",0,-9,-9,1,3,3,3,3,3,3,3,3,0,1,0,0,2
SP23,R_3JmlFToZGtrGXgD,2023-03-29 06:31:38,2023-03-29 06:39:01,IP Address,True,442,100,anonymous,2025,History,HIS,-9,-9,-9,-9,-9,2,European American or White,,2023-03-29 06:39:00,Yes (continue to survey),-9,"Voting,Talking with people in the community,Teaching or mentorship,Volunteering or doing community service,Attending community arts and culture events",4,4,4,4,4,4,4,4,4,4,5,-9,1,4 to 8 hours per month,4,4,3,3,3,3,3,4,3,3,3,3,Debating opinions or ideas with others with whom you disagree.,1,"The Elm,The Chestertown Spy,Kent County News",3,1,4,4,2,5,3,2,4,4,1,1,0,0,4
SP23,R_2b1a7CXCCgkyT0e,2023-03-29 06:31:40,2023-03-29 06:39:44,IP Address,True,482,100,anonymous,2026,European Studies,OTHER:EUROPEAN_STUDIES,-9,-9,-9,-9,-9,6,I prefer not to answer,,2023-03-29 06:39:43,Yes (continue to survey),-9,"Talking with people in the community,Teaching or mentorship,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class",3,2,4,4,2,3,4,3,2,2,Somewhere else (please specify),The various communities I have lived in.,0,-9,2,2,3,1,1,3,1,3,1,1,4,1,Signing online petitions.,0,-9,-9,1,3,3,3,3,4,4,4,4,1,-9,2,2,3
SP23,R_2Bl0kTzYbnkh5Vw,2023-03-29 06:32:43,2023-03-29 06:40:21,IP Address,True,457,100,anonymous,2024,Psychology,PSY,-9,-9,-9,-9,-9,2,European American or White,,2023-03-29 06:40:21,Yes (continue to survey),-9,"Voting,Talking with people in the community,Teaching or mentorship,Volunteering or doing community service,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class",4,4,4,4,2,3,4,4,4,4,Somewhere else (please specify),"Combination of WAC and home, and just generally",1,Less than 4 hours per month,2,3,3,3,4,2,1,3,1,3,3,1,"Following accounts/pages that post about current events.,Signing online petitions.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",1,The Elm,3,4,4,4,4,4,4,3,5,5,0,1,1,1,3
SP23,R_XpwpHfOh19EF0zL,2023-03-29 06:37:03,2023-03-29 06:42:22,IP Address,True,317,100,anonymous,2023,Political Science and Anthropology,POL,ANT,-9,-9,-9,-9,2,African American or Black,,2023-03-29 06:42:21,Yes (continue to survey),-9,"Voting,Talking with people in the community,Volunteering or doing community service,Attending community arts and culture events,Participating in research with community members",4,4,4,4,4,4,4,4,4,4,5,-9,0,-9,3,3,3,3,4,2,1,3,4,4,4,3,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Following elected officials or other representatives on social media.",1,The Elm,2,4,1,2,3,3,3,4,3,3,1,1,0,2,3
SP23,R_2y2T3kD7pOLwwSi,2023-03-29 06:34:42,2023-03-29 06:43:28,IP Address,True,526,100,anonymous,2024,History ,HIS,-9,-9,-9,-9,-9,2,European American or White,,2023-03-29 06:43:28,Yes (continue to survey),-9,"Voting,Talking with people in the community,Teaching or mentorship,Making donations to charities,Volunteering or doing community service,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class",4,4,3,3,3,4,4,4,4,4,5,-9,1,Less than 4 hours per month,2,3,2,2,4,3,1,3,1,1,4,3,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",1,The Elm,4,4,4,3,4,3,4,4,4,3,1,1,2,2,3
SP23,R_2YfFIdPUcG34bYL,2023-03-29 06:43:28,2023-03-29 06:52:14,IP Address,True,524,100,anonymous,2025,Political Science,POL,-9,-9,-9,-9,-9,2,European American or White,,2023-03-29 06:52:13,Yes (continue to survey),-9,"Voting,Political engagement,Volunteering or doing community service,Protesting or rallying,Service-learning experiences with a class",3,4,2,3,4,4,4,3,2,4,Somewhere else (please specify),no specific community ,1,4 to 8 hours per month,2,2,3,3,4,2,3,3,3,4,4,1,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.",0,-9,-9,1,3,2,2,4,4,4,3,3,1,1,2,2,4
SP23,R_2XhfESVNHNkqYXa,2023-03-29 06:17:12,2023-03-29 06:53:56,IP Address,True,2202,100,anonymous,2024,business,BUS,-9,-9,-9,-9,-9,2,European American or White,,2023-03-29 06:53:55,Yes (continue to survey),-9,"Voting,Political engagement,Talking with people in the community,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events",4,4,4,3,4,4,4,4,3,4,2,-9,0,-9,2,3,3,2,4,2,1,3,3,4,4,1,"Following accounts/pages that post about current events.,Signing online petitions.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",0,-9,-9,4,4,4,3,2,3,4,4,2,0,-9,1,1,3
SP23,R_3fw8bNV09LqvY4C,2023-03-29 06:57:26,2023-03-29 07:07:14,IP Address,True,587,100,anonymous,2024,Environmental Science,ENV,-9,-9,-9,-9,-9,3,European American or White,,2023-03-29 07:07:14,Yes (continue to survey),-9,"Teaching or mentorship,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities",4,3,3,4,2,4,4,4,3,4,2,-9,0,-9,3,3,3,2,4,2,1,3,1,4,4,1,Signing online petitions.,1,The Elm,3,4,4,3,3,3,4,4,5,4,1,1,0,1,4
SP23,R_3kM3DYGRlhq7zdP,2023-03-29 07:05:48,2023-03-29 07:15:19,IP Address,True,570,100,anonymous,2025,Environmental Science & Theatre,ENV,THE,-9,-9,-9,-9,3,European American or White,,2023-03-29 07:15:18,Yes (continue to survey),-9,"Political engagement,Talking with people in the community,Fundraising,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events",4,4,4,4,3,4,4,3,2,4,The Chestertown or local community,-9,0,-9,3,3,3,3,4,3,4,3,1,3,4,3,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.",1,The Elm,4,4,2,3,3,4,4,4,4,3,0,1,1,1,3
SP23,R_1DM7pJT7WN4LlE7,2023-03-29 07:20:22,2023-03-29 07:26:04,IP Address,True,341,100,anonymous,2023,-9,-9,-9,-9,-9,-9,-9,1,European American or White,,2023-03-29 07:26:03,Yes (continue to survey),-9,Voting,4,4,4,3,4,4,4,4,4,4,5,-9,0,-9,3,3,4,4,3,3,3,1,3,3,4,1,"Following accounts/pages that post about current events.,Following elected officials or other representatives on social media.",1,The Elm,4,4,4,1,1,4,3,3,4,3,1,-9,1,2,3
SP23,R_RehRRWbAlHSzII1,2023-03-29 07:20:56,2023-03-29 07:27:15,IP Address,True,377,100,anonymous,2026,Communication Media,CMS,-9,-9,-9,-9,-9,1,European American or White,,2023-03-29 07:27:14,Yes (continue to survey),-9,"Voting,Talking with people in the community,Teaching or mentorship,Fundraising,Making donations to charities,Service-learning experiences with a class,Contributing to community businesses with a social cause",4,4,4,4,3,4,4,4,4,4,5,-9,1,4 to 8 hours per month,3,4,3,3,3,4,3,4,3,1,4,3,"Reposting information regarding current events to your story/page/etc.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Liking posts regarding current events.",0,-9,-9,4,4,3,4,4,4,4,4,5,1,1,1,2,2
SP23,R_1Kfm9l8VsBC9Tgw,2023-03-29 07:33:29,2023-03-29 07:45:28,IP Address,True,717,100,anonymous,2023,Biology & Psychology,BIO,PSY,-9,-9,-9,-9,2,European American or White,,2023-03-29 07:45:27,Yes (continue to survey),-9,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities",4,4,4,4,4,4,4,4,4,4,5,-9,1,Less than 4 hours per month,2,4,4,4,4,4,1,3,3,3,4,4,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Following elected officials or other representatives on social media.",0,-9,-9,4,4,4,2,3,5,5,5,3,1,1,2,2,3
SP23,R_31uZSlwGHIWCQeh,2023-03-29 07:42:32,2023-03-29 07:50:31,IP Address,True,477,100,anonymous,2024,Anthropology ,ANT,-9,-9,-9,-9,-9,2,European American or White,,2023-03-29 07:50:30,Yes (continue to survey),-9,"Voting,Talking with people in the community,Teaching or mentorship,Making donations to charities,Volunteering or doing community service,Activism or awareness raising activities,Attending community arts and culture events,Service-learning experiences with a class",3,4,4,4,4,4,4,4,3,4,5,-9,1,Less than 4 hours per month,3,3,4,3,4,3,3,3,4,4,4,3,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Following elected officials or other representatives on social media.",1,"The Elm,The Chestertown Spy,Kent County News,Eastern Shore Post",4,4,5,3,2,4,4,5,4,4,1,1,0,0,3
SP23,R_25ubdjj5SHrcF2e,2023-03-29 07:48:25,2023-03-29 07:53:35,IP Address,True,308,100,anonymous,2025,Anthropology ,ANT,-9,-9,-9,-9,-9,1,African American or Black,,2023-03-29 07:53:34,Yes (continue to survey),-9,"Voting,Talking with people in the community,Teaching or mentorship,Fundraising,Volunteering or doing community service,Attending community arts and culture events,Service-learning experiences with a class",4,4,4,4,3,3,4,4,4,4,The Chestertown or local community,-9,1,Less than 4 hours per month,3,3,2,2,3,3,1,3,1,1,4,1,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",0,-9,-9,4,4,3,3,4,4,4,3,3,1,1,0,1,3
SP23,R_3j9fxUn4ckmtaXw,2023-03-29 07:50:38,2023-03-29 07:56:15,IP Address,True,336,100,anonymous,2025,"Biology, Environmental Science",BIO,ENV,-9,-9,-9,-9,2,European American or White,,2023-03-29 07:56:15,Yes (continue to survey),-9,"Voting,Political engagement,Talking with people in the community,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Contributing to community businesses with a social cause",4,4,2,3,3,3,4,4,4,4,The Chestertown or local community,-9,0,-9,4,3,3,3,4,3,1,3,1,1,1,3,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Debating opinions or ideas with others with whom you disagree.",1,The Elm,4,4,3,3,4,5,3,3,3,3,0,-9,0,0,3
SP23,R_DnQVVV69r5fDOql,2023-03-29 07:56:28,2023-03-29 08:01:34,IP Address,True,304,100,anonymous,2024,-9,-9,-9,-9,-9,-9,-9,2,"European American or White,Hispanic/Latinx",,2023-03-29 08:01:33,Yes (continue to survey),-9,"Political engagement,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events",4,4,4,4,4,4,4,4,3,4,5,-9,1,Less than 4 hours per month,4,3,4,4,4,3,3,3,3,3,3,1,"Following accounts/pages that post about current events.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",1,The Elm,3,4,4,4,4,5,4,5,5,4,1,1,1,1,4
