StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q2- Text,Q3- Define CE,Q4-CESA_1,Q4-CESA_2,Q4-CESA_3,Q4-CESA_4,Q4-CESA_5,Q4-CESA_6,Q4-CESA_7,Q4-CESA_8,Q4-CESA_9,Q4-CESA_10,Q6,Q6_4_TEXT,Q7-ESP1,Q7a-ESP1,Q8-ESP2_1,Q8-ESP2_2,Q8-ESP2_3,Q8-ESP2_4,Q8-ESP2_5,Q8-ESP2_6,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q9-ESP3_1,Q9-ESP3_2,Q9-ESP3_3,Q10-M1,Q11-M3,Q11-M3a,Q12-M4_1,Q12-M4_2,Q12-M4_3,Q12-M4_4,Q12-M4_5,Q12-M4_6,Q12-M4_7,Q12-M4_8,Q12-M4_9,Q13-M5,Q14-M6,Q14-M6a,Q14-M6b,Q15-M7,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q17,Q34,Q35,Q36,Q18,Q19,Q20,Q21,Q22,Q32,Q23,Q24,Q44
2023-03-29 08:50:50,2023-03-29 08:56:39,IP Address,76.78.85.90,100,348,True,2023-03-29 08:56:40,R_sn7Egho3G9ZqyWd,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,The Washington College community,,Yes,4 to 8 hours per month,Important,Important,Very Important,Not really important,Very Important,Important,Often,Often,Often,Often,Often,Sometimes/Occasionally,Yes,Yes,Yes,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",Yes,Connected,Positive Impact,Negative Impact,Positive Impact,Positive Impact,No impact,No impact,Negative Impact,Negative Impact,Negative Impact,Yes,Yes,The Elm,Connected,Yes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,I don't know,Yes,I am more engaged than the average WAC student,2026,experimental psych,No,No,Yes,Female,"European American or White,Middle Eastern/North African",
2023-03-29 09:09:16,2023-03-29 09:17:10,IP Address,76.78.85.84,100,474,True,2023-03-29 09:17:13,R_2tGtm9liH9uhTnj,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Volunteering or doing community service,Activism or awareness raising activities,Attending community arts and culture events",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhere else (please specify),The country in general,Yes,Less than 4 hours per month,Important,Very Important,Important,Very Important,Very Important,Important,Sometimes/Occasionally,Sometimes/Occasionally,Never,Often,Often,Sometimes/Occasionally,Yes,Yes,No,"Signing online petitions.,Debating opinions or ideas with others with whom you disagree.",Yes,Connected,Positive Impact,Positive Impact,Positive Impact,Negative Impact,Negative Impact,No impact,Negative Impact,Negative Impact,Negative Impact,Yes,Yes,The Elm,Connected,Yes,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,No,Yes,I am as engaged as the average WAC student,2025,Communication & Media Studies,No,Yes,Yes,Female,,
2023-03-29 08:53:53,2023-03-29 09:33:09,IP Address,76.78.85.92,100,2356,True,2023-03-29 09:33:10,R_1H76u7U3bDKOnXj,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Contributing to community businesses with a social cause",Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Your home community,,No,,Very Important,Important,Important,Important,Very Important,Not really important,Sometimes/Occasionally,Never,Sometimes/Occasionally,Sometimes/Occasionally,Often,Never,Yes,Yes,Yes,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",Yes,Neither connected or disconnected,Positive Impact,Positive Impact,No impact,Positive Impact,No impact,No impact,No impact,No impact,No impact,No,No,,,Yes,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,No,Yes,I don't know,I don't know,I am as engaged as the average WAC student,2026,"Hispanic Studies, Studio Art",No,Yes,Yes,Female,"European American or White,Hispanic/Latinx",
2023-03-29 10:00:30,2023-03-29 10:04:22,IP Address,76.78.85.10,100,231,True,2023-03-29 10:04:23,R_3Hjg3qlBvlcZ5ol,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Teaching or mentorship,Volunteering or doing community service,Activism or awareness raising activities,Attending community arts and culture events",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,The Chestertown or local community,,Yes,8 to 12 hours per month,Important,Very Important,Important,Very Important,Very Important,Not really important,Sometimes/Occasionally,Often,Never,Often,Often,Often,No,Yes,No,"Signing online petitions.,Liking posts regarding current events.",Yes,Very connected,Positive Impact,Positive Impact,No impact,No impact,No impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No,Yes,The Elm,Very connected,Yes,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,No,Yes,I don't know,I don't know,I am much more engaged than the average WAC student,2025,English; Communications and Media Studies,No,Yes,Yes,Female,European American or White,
2023-03-29 09:54:49,2023-03-29 10:07:33,IP Address,76.78.85.92,100,763,True,2023-03-29 10:07:35,R_29s8MuTUM5pyu7t,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Teaching or mentorship,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Contributing to community businesses with a social cause",Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,The Washington College community,,No,,Important,Important,Important,Important,Very Important,Important,Never,Never,Never,Never,Often,Often,Yes,No,No,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Following elected officials or other representatives on social media.",Yes,Neither connected or disconnected,Positive Impact,Positive Impact,Negative Impact,No impact,Negative Impact,,Negative Impact,Negative Impact,Negative Impact,Yes,No,,,Yes,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,No,Yes,No,No,I am as engaged as the average WAC student,2025,Biology,No,Yes,Yes,Female,European American or White,
2023-03-29 10:46:33,2023-03-29 10:51:20,IP Address,76.78.85.8,100,286,True,2023-03-29 10:51:20,R_3PbOxRjgzJegKOB,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Fundraising,Volunteering or doing community service,Activism or awareness raising activities",Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat agree,The Washington College community,,Yes,4 to 8 hours per month,Not really important,Very Important,Not really important,Not really important,Important,Very Important,Sometimes/Occasionally,Often,Never,Sometimes/Occasionally,Sometimes/Occasionally,Often,No,No,No,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",Yes,Connected,Positive Impact,No impact,Positive Impact,Positive Impact,Negative Impact,No impact,Negative Impact,Negative Impact,Negative Impact,Yes,No,,,Yes,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,I don't know,I don't know,I am as engaged as the average WAC student,2025,Biology,Yes,Yes,Yes,Female,European American or White,
2023-03-29 10:38:18,2023-03-29 10:52:25,IP Address,76.78.85.18,100,846,True,2023-03-29 10:52:26,R_1hDOn4epahKYd2z,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Your home community,,Yes,Less than 4 hours per month,Important,Important,Important,Very Important,Very Important,Important,Never,Sometimes/Occasionally,Never,Sometimes/Occasionally,Often,Never,Yes,Yes,Yes,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",No,,Negative Impact,Positive Impact,Negative Impact,Positive Impact,Negative Impact,Negative Impact,Positive Impact,Positive Impact,Positive Impact,No,No,,,Yes,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,I am as engaged as the average WAC student,2026,History,Yes,No,Yes,Female,European American or White,
2023-03-29 11:12:16,2023-03-29 11:17:00,IP Address,76.78.85.67,100,284,True,2023-03-29 11:17:01,R_2VCRGKrBonu5djq,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Protesting or rallying,Participating in research with community members",Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Your home community,,Yes,Less than 4 hours per month,Important,Important,Very Important,Very Important,Very Important,Important,Sometimes/Occasionally,Often,Never,Never,Sometimes/Occasionally,Never,Yes,Yes,Yes,"Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",No,,Positive Impact,Positive Impact,Positive Impact,Positive Impact,No impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No,No,,,Yes,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Yes,I don't know,I don't know,Yes,I am as engaged as the average WAC student,2023,Business Mgmt,No,Yes,Yes,Male,"Asian, Asian American",
2023-03-29 10:16:18,2023-03-29 11:36:49,IP Address,76.78.85.18,100,4831,True,2023-03-29 11:36:50,R_2YAiNMfK4bJoA2o,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Teaching or mentorship,Making donations to charities,Volunteering or doing community service,Attending community arts and culture events",Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Agree,Your home community,,Yes,Less than 4 hours per month,Important,Very Important,Not really important,Important,Important,Not really important,Never,Sometimes/Occasionally,Never,Sometimes/Occasionally,Sometimes/Occasionally,Never,No,No,No,"Following accounts/pages that post about current events.,Signing online petitions.,Following elected officials or other representatives on social media.",No,,,,,,,,,,,No,No,,,Yes,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,No,Yes,No,I don't know,I am more engaged than the average WAC student,2025,Neuroscience,Yes,No,Yes,Female,European American or White,
2023-03-29 10:52:33,2023-03-29 12:31:12,IP Address,76.78.85.47,100,5918,True,2023-03-29 12:31:13,R_3g6irutC7NfZimR,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Talking with people in the community,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,The Chestertown or local community,,Yes,4 to 8 hours per month,Very Important,Very Important,Important,Very Important,Very Important,Important,Often,Often,Sometimes/Occasionally,Often,Often,Sometimes/Occasionally,Yes,Yes,No,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.",No,,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No impact,No impact,Negative Impact,No impact,No,Yes,The Elm,Connected,Yes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,Yes,No,Yes,I am much more engaged than the average WAC student,2023,Environmental Studies,No,No,Yes,Male,European American or White,
2023-03-29 14:18:17,2023-03-29 14:25:53,IP Address,146.168.231.92,100,455,True,2023-03-29 14:25:54,R_9yT0rOJg0IqLpLj,,,,,39.0595,-76.0477,anonymous,EN,Yes (continue to survey),,"Teaching or mentorship,Volunteering or doing community service,Activism or awareness raising activities,Participating in research with community members,Service-learning experiences with a class",Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,The Chestertown or local community,,Yes,Less than 4 hours per month,Important,Important,Important,Very Important,Very Important,Important,Sometimes/Occasionally,Sometimes/Occasionally,Never,Often,Often,Never,No,No,No,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.",Yes,Connected,Positive Impact,Negative Impact,Positive Impact,Positive Impact,Positive Impact,,Negative Impact,Negative Impact,Negative Impact,Yes,Yes,The Elm,Connected,Yes,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes,Yes,No,I am as engaged as the average WAC student,2023,Human Development,No,No,No,Female,"Asian, Asian American",
2023-03-29 17:10:58,2023-03-29 17:17:35,IP Address,76.78.85.69,100,396,True,2023-03-29 17:17:35,R_0kepIh9R5oNkP29,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Volunteering or doing community service,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class",Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Your home community,,No,,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Never,Never,Never,Never,Never,Never,No,Yes,No,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.",No,,,,,,,,,,,Yes,Yes,The Elm,Neither connected nor disconnected,Yes,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,I don't know,Yes,I am as engaged as the average WAC student,2023,History,No,No,No,Male,"European American or White,Hispanic/Latinx",
2023-03-29 18:16:49,2023-03-29 18:21:33,IP Address,76.78.85.93,100,284,True,2023-03-29 18:21:33,R_3HNqOQqf6mnATro,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Teaching or mentorship,Protesting or rallying,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhere else (please specify),WAC community and my home community,Yes,4 to 8 hours per month,Important,Important,Not really important,Not really important,Very Important,Not really important,Sometimes/Occasionally,Often,Never,Never,Often,Sometimes/Occasionally,Yes,Yes,Yes,"Signing online petitions.,Debating opinions or ideas with others with whom you disagree.,Liking posts regarding current events.",No,,No impact,No impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No,Yes,The Elm,Disconnected,Yes,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,No,Yes,No,No,I am much more engaged than the average WAC student,2024,History,No,No,Yes,Female,European American or White,
2023-03-29 19:36:38,2023-03-29 19:45:19,IP Address,76.78.85.13,100,521,True,2023-03-29 19:45:21,R_3lLKNg93p4YA8uk,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Fundraising,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities",Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Your home community,,No,,Important,Important,Very Important,Important,Very Important,Not really important,Never,Never,Never,Sometimes/Occasionally,Often,Never,Yes,Yes,No,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.",Yes,Connected,No impact,Positive Impact,Negative Impact,No impact,No impact,Negative Impact,No impact,Negative Impact,No impact,No,No,,,Yes,Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,Agree,Neutral,No,I don't know,Yes,Yes,I am more engaged than the average WAC student,2024,"psychology ",Yes,No,Yes,Female,European American or White,
2023-03-29 10:36:34,2023-03-29 20:20:53,IP Address,76.78.85.52,100,35058,True,2023-03-29 20:20:54,R_Qn9E30p0bOFaREZ,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Volunteering or doing community service,Activism or awareness raising activities,Participating in research with community members,Service-learning experiences with a class",Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Your home community,,No,,Important,Important,Not really important,Important,Important,Not really important,Never,Never,Never,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Yes,No,No,"Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Liking posts regarding current events.",Yes,Very connected,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Yes,Yes,The Elm,Connected,Yes,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Yes,I don't know,I don't know,I don't know,I am as engaged as the average WAC student,2025,Communication and Media Studies,No,No,Yes,Male,European American or White,
2023-03-30 12:23:41,2023-03-30 12:28:24,IP Address,76.78.85.32,100,283,True,2023-03-30 12:28:25,R_V26KA7Py8eQzKTf,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Talking with people in the community,Fundraising,Volunteering or doing community service,Activism or awareness raising activities,Attending community arts and culture events,Service-learning experiences with a class",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,The Chestertown or local community,,No,,Important,Important,Important,Important,Very Important,Important,Sometimes/Occasionally,Never,Never,Often,Often,Never,No,No,No,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.",Yes,Connected,Positive Impact,Positive Impact,Positive Impact,No impact,Positive Impact,Positive Impact,No impact,No impact,No impact,No,Yes,The Elm,Connected,Yes,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,No,Yes,I don't know,No,I am as engaged as the average WAC student,2025,CMS,No,No,Yes,I prefer not to answer,European American or White,
2023-03-30 12:27:49,2023-03-30 12:33:55,IP Address,167.102.242.131,100,366,True,2023-03-30 12:33:56,R_2RaYQUBbdyUUaNH,,,,,38.9512,-76.4944,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Protesting or rallying,Activism or awareness raising activities",Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Your home community,,Yes,Less than 4 hours per month,Important,Not really important,Very Important,Important,Very Important,Not really important,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Often,Often,Never,Yes,Yes,No,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Following elected officials or other representatives on social media.",Yes,Disconnected,No impact,No impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No,Yes,The Elm,Neither connected nor disconnected,Yes,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,No,No,I am much more engaged than the average WAC student,2023,"Political Science, Communications and Media Studies",No,Yes,Yes,Male,European American or White,
2023-03-30 12:28:13,2023-03-30 12:34:54,IP Address,172.58.184.22,100,400,True,2023-03-30 12:34:54,R_1rrfD9U7H9zv2Uu,,,,,41.8764,-87.6133,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Protesting or rallying,Activism or awareness raising activities,Service-learning experiences with a class,Contributing to community businesses with a social cause",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,The Chestertown or local community,,Yes,Less than 4 hours per month,Important,Important,Important,Important,Very Important,Not really important,Often,Sometimes/Occasionally,Never,Sometimes/Occasionally,Often,Sometimes/Occasionally,No,No,Yes,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Posting your own opinions regarding current events.,Liking posts regarding current events.",Yes,Connected,Positive Impact,No impact,Positive Impact,Positive Impact,Positive Impact,Negative Impact,Positive Impact,Negative Impact,Positive Impact,Yes,No,,,Yes,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Yes,Yes,Yes,Yes,I am more engaged than the average WAC student,2023,"Business Management ",No,No,Yes,Female,European American or White,
2023-03-30 12:48:41,2023-03-30 12:53:42,IP Address,76.78.85.22,100,300,True,2023-03-30 12:53:43,R_1iarfArcvFH2Ojp,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Teaching or mentorship,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities",Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhere else (please specify),"all of the above ",Yes,8 to 12 hours per month,Not really important,Important,Important,Not really important,Very Important,Very Important,Sometimes/Occasionally,Often,Never,Sometimes/Occasionally,Often,Often,No,No,Yes,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Liking posts regarding current events.",Yes,Connected,No impact,No impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,No impact,Negative Impact,No impact,No,Yes,The Elm,Neither connected nor disconnected,No,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Yes,Yes,I don't know,No,I am more engaged than the average WAC student,2023,"English ",No,Yes,Yes,Female,European American or White,
2023-03-30 12:52:13,2023-03-30 12:57:52,IP Address,209.243.32.181,100,338,True,2023-03-30 12:57:52,R_0I14KraiO9F8xdD,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Teaching or mentorship,Fundraising,Protesting or rallying,Attending community arts and culture events,Service-learning experiences with a class",Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,The Washington College community,,No,,Not really important,Important,Not really important,Not really important,Important,Not really important,Never,Sometimes/Occasionally,Never,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Yes,No,No,"Following accounts/pages that post about current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.",No,,Positive Impact,Positive Impact,No impact,No impact,No impact,Positive Impact,No impact,No impact,No impact,No,No,,,Yes,Agree,Disagree,Strongly Disagree,Neutral,Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,I am much less engaged than the average WAC student,2023,Psychology,Yes,No,No,Male,European American or White,
2023-03-30 12:50:30,2023-03-30 12:58:30,IP Address,76.78.85.5,100,480,True,2023-03-30 12:58:31,R_2Sr8Ma39nQ3BnrK,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Your home community,,Yes,Less than 4 hours per month,Important,Very Important,Very Important,Important,Very Important,Important,Often,Sometimes/Occasionally,Often,Often,Often,Often,Yes,No,No,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",Yes,Connected,Positive Impact,No impact,Negative Impact,Positive Impact,Positive Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Yes,Yes,"The Elm,Shore Daily News",Connected,Yes,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Yes,Yes,I don't know,No,I am more engaged than the average WAC student,2024,"English Major with a MFCE Minor ",No,No,Yes,"Genderqueer, genderfluid, or non-binary",European American or White,
2023-03-30 12:53:39,2023-03-30 12:58:54,IP Address,76.78.85.28,100,314,True,2023-03-30 12:58:55,R_2UclSMQFLfkkXWm,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Making donations to charities",Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Your home community,,No,,Not really important,Not really important,Not really important,Important,Very Important,Important,Never,Sometimes/Occasionally,Never,Often,Often,Sometimes/Occasionally,No,No,No,"Following accounts/pages that post about current events.,Signing online petitions.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",Yes,Connected,Positive Impact,Positive Impact,Positive Impact,No impact,Negative Impact,No impact,No impact,Negative Impact,No impact,No,No,,,Yes,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Yes,No,I don't know,I don't know,I am as engaged as the average WAC student,2025,"Biology ",Yes,No,Yes,Female,European American or White,
2023-03-30 12:54:47,2023-03-30 12:59:15,IP Address,76.78.85.72,100,267,True,2023-03-30 12:59:15,R_yBGAL1kvt5UxPJT,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Teaching or mentorship",Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Your home community,,Yes,Less than 4 hours per month,Important,Very Important,Important,Important,Important,Very Important,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Often,Yes,Yes,No,"Following accounts/pages that post about current events.,Signing online petitions.,Liking posts regarding current events.",No,,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Yes,Yes,"The Elm,Eastern Shore Post",Very connected,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,I am as engaged as the average WAC student,2025,"human growth and development ",Yes,No,Yes,Female,European American or White,
