StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q2- Text,Q3- Define CE,Q4-CESA_1,Q4-CESA_2,Q4-CESA_3,Q4-CESA_4,Q4-CESA_5,Q4-CESA_6,Q4-CESA_7,Q4-CESA_8,Q4-CESA_9,Q4-CESA_10,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,Q6,Q6_4_TEXT,Q7-ESP1,Q7a-ESP1,Q8-ESP2_1,Q8-ESP2_2,Q8-ESP2_3,Q8-ESP2_4,Q8-ESP2_5,Q8-ESP2_6,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q9-ESP3,Q76,Q75,Q10-ESP4,Q11-ESP5,Q12-ESP6,Q13-ESP7,Q14-ESP8,Q10-M1,Q51_1,Q51_2,Q51_3,Q51_4,Q51_5,Q51_6,Q14-M6,Q14-M6a,Q14-M6b,Q15-M7,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q58,Q68,Q69,Q70,Q71,Q72_1,Q72_2,Q72_3,Q72_4,Q66,Q17,Q34,Q35,Q36,Q18,Q60,Q73,Q19,Q46,Q20,Q45,Q23,Q24,Q44
2025-03-28 07:46:09,2025-03-28 07:55:01,IP Address,76.78.85.25,100,531,True,2025-03-28 07:55:01,R_7gL5Z68Fy7fogVP,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Contributing to community businesses with a social cause",Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Rarely,Often,Often,Often,Rarely,Never,The Chestertown or local community,,No,,Important,Important,Very Important,Important,Very Important,Not really important,Never,Never,Sometimes/Occasionally,Sometimes/Occasionally,Often,Sometimes/Occasionally,No,No,Yes,Democrat,Yes,Liberal,I am sure that I VOTED in the 2024 Presidential Election,Kamala Harris,"Following accounts/pages that post about current events,Reposting information regarding current events to your story/page/etc.,Following elected officials or other representatives on social media",Very important,Very important,Very important,Important,Important,Unimportant,Yes,The Elm,Neither connected nor disconnected,Yes,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Yes,Yes,No,Yes,No,Very True,Mostly Untrue,Very True,Mostly True,My participation has increased. I am more involved than I was in my first semester.,Yes,Yes,No,I don't know,I am more engaged than the average WAC student,Unfamiliar,I feel a sense of belonging,2026,No,Env studies and anthropology,mfce and crs,"Genderqueer, genderfluid, or non-binary",European American or White,
2025-03-28 08:35:38,2025-03-28 08:43:37,IP Address,76.78.85.32,100,479,True,2025-03-28 08:43:38,R_32toKyJGa8FvnYY,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Making donations to charities,Protesting or rallying,Attending community arts and culture events,Participating in research with community members,Contributing to community businesses with a social cause",Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Often,Very Often,Often,Sometimes,The Washington College community,,Yes,Less than 4 hours per month,Important,Important,Very Important,Very Important,Very Important,Very Important,Sometimes/Occasionally,Sometimes/Occasionally,Often,Sometimes/Occasionally,Often,Sometimes/Occasionally,No,No,Yes,Democrat,Yes,Liberal,I am sure that I VOTED in the 2024 Presidential Election,Kamala Harris,"Following accounts/pages that post about current events,Reposting information regarding current events to your story/page/etc.,Signing online petitions,Posting your own opinions regarding current events,Debating opinions or ideas with others with whom you disagree,Following elected officials or other representatives on social media,Liking posts regarding current events",Important,Important,Very important,Very important,Very important,Unimportant,Yes,"The Elm,Kent County News",Connected,Yes,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,No,No,No,No,Mostly True,Mostly True,Very True,Mostly True,My participation has increased. I am more involved than I was in my first semester.,Yes,Yes,Yes,Yes,I am as engaged as the average WAC student,Familiar,I feel a sense of belonging,2028,No,anthro/env studies,theater,Woman,European American or White,
2025-03-27 16:16:11,2025-03-28 08:47:47,IP Address,104.28.78.239,100,59496,True,2025-03-28 08:47:48,R_30paLgHoK1K2rP8,,,,,39.2812,-76.7406,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Service-learning experiences with a class,Contributing to community businesses with a social cause",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Sometimes,Very Often,Very Often,Often,Often,Sometimes,Your home community,,No,,Important,Very Important,Not really important,Very Important,Very Important,Important,Never,Sometimes/Occasionally,Never,Sometimes/Occasionally,Often,Sometimes/Occasionally,No,No,Yes,Democrat,Yes,Liberal,I am sure that I VOTED in the 2024 Presidential Election,Kamala Harris,"Following accounts/pages that post about current events,Reposting information regarding current events to your story/page/etc.,Signing online petitions,Posting your own opinions regarding current events,Debating opinions or ideas with others with whom you disagree,Following elected officials or other representatives on social media,Liking posts regarding current events",Very important,Very important,Important,Very important,Very important,Important,Yes,"The Elm,The Chestertown Spy,Kent County News",Connected,Yes,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Yes,No,Yes,Yes,No,Very True,Very True,Very True,Very True,My participation has increased. I am more involved than I was in my first semester.,Yes,Yes,No,No,I am more engaged than the average WAC student,Familiar,I feel a sense of belonging,2026,No,English,Education Studies,Woman,European American or White,
2025-03-28 08:45:26,2025-03-28 08:51:01,IP Address,209.243.32.181,100,334,True,2025-03-28 08:51:01,R_7gUsnXL8QAUsLZX,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Teaching or mentorship,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Service-learning experiences with a class",Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Rarely,Very Often,Very Often,Very Often,Very Often,Very Often,The Washington College community,,No,,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Often,Sometimes/Occasionally,Often,Often,Often,Sometimes/Occasionally,Yes,Yes,Yes,Democrat,No,Liberal,I DID NOT vote in the 2024 Presidential Election,Kamala Harris,"Following accounts/pages that post about current events,Signing online petitions,Following elected officials or other representatives on social media",Very important,Very important,Very important,Very important,Very important,Very important,Yes,The Chestertown Spy,Connected,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,No,Yes,No,No,No,Very True,Very True,Very True,Very True,My participation has increased. I am more involved than I was in my first semester.,No,Yes,No,Yes,I am much more engaged than the average WAC student,Unfamiliar,I feel neutral about my belonging,2028,No,psychology,law justice in society,Woman,African American or Black,
2025-03-28 09:24:21,2025-03-28 09:30:54,IP Address,76.78.85.51,100,393,True,2025-03-28 09:30:55,R_6qQYg3Lye49B9VM,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Teaching or mentorship,Activism or awareness raising activities,Service-learning experiences with a class",Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Never,Rarely,Rarely,Sometimes,Often,Rarely,The Chestertown or local community,,No,,Important,Important,Very Important,Very Important,Very Important,Not really important,Never,Never,Never,Often,Often,Never,No,No,No,Democrat,I don't know,Middle of the Road,I am sure that I VOTED in the 2024 Presidential Election,Kamala Harris,"Posting your own opinions regarding current events,Following elected officials or other representatives on social media",Important,Important,Important,Important,Important,Important,Yes,The Elm,Neither connected nor disconnected,Yes,Agree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Neutral,Yes,No,No,No,No,Very Untrue,Very Untrue,Mostly True,Mostly Untrue,My participation has increased. I am more involved than I was in my first semester.,No,Yes,I don't know,I don't know,I am more engaged than the average WAC student,Somewhat familiar,I feel a sense of belonging,2028,No,Economics,Education Studies,Man,European American or White,
2025-03-28 09:26:17,2025-03-28 09:36:13,IP Address,104.28.76.150,100,595,True,2025-03-28 09:36:13,R_1n79KNYupT2plyO,,,,,39.3248,-76.6062,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Fundraising,Volunteering or doing community service,Activism or awareness raising activities,Participating in research with community members,Service-learning experiences with a class",Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Rarely,Often,Sometimes,Sometimes,Never,Rarely,Your home community,,Yes,Less than 4 hours per month,Not really important,Important,Not really important,Important,Not really important,Very Important,Never,Sometimes/Occasionally,Never,Never,Never,Often,No,No,No,Republican,No,Conservative,I am sure that I VOTED in the 2024 Presidential Election,Donald Trump,Signing online petitions,Important,Important,Very important,Very important,Important,Very important,No,,,No,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,No,No,No,No,No,Mostly True,Mostly True,Mostly True,Mostly True,My participation has increased. I am more involved than I was in my first semester.,Yes,I don't know,Yes,Yes,I am less engaged than the average WAC student,Unfamiliar,I feel a strong sense of belonging,2028,No,"Art & art history with studio art concentration ",None,Man,European American or White,
2025-03-28 10:01:09,2025-03-28 10:10:55,IP Address,76.78.85.7,100,586,True,2025-03-28 10:10:56,R_6j804BSXEq4owUt,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Your home community,,No,,Important,Important,Important,Important,Very Important,Very Important,Never,Never,Sometimes/Occasionally,Often,Often,Sometimes/Occasionally,Yes,Yes,No,Democrat,Yes,Liberal,I am sure that I VOTED in the 2024 Presidential Election,Kamala Harris,"Following accounts/pages that post about current events,Reposting information regarding current events to your story/page/etc.,Signing online petitions,Posting your own opinions regarding current events,Following elected officials or other representatives on social media,Liking posts regarding current events",Very important,Important,Very important,Important,Important,Important,No,,,Yes,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,No,No,Yes,No,No,Mostly Untrue,Mostly Untrue,Mostly Untrue,Mostly Untrue,My participation has decreased. I am less involved now than I was in my first semester.,No,Yes,No,No,I am as engaged as the average WAC student,Somewhat familiar,I feel a strong sense of belonging,2027,No,Environmental science,Earth and planetary sciences,Woman,European American or White,
2025-03-28 10:16:45,2025-03-28 11:31:29,IP Address,76.78.85.45,100,4484,True,2025-03-28 11:31:30,R_7nOX0mkhlB0ZxhA,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Fundraising,Making donations to charities,Protesting or rallying,Activism or awareness raising activities",Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Never,Often,Very Often,Very Often,Often,Rarely,The Washington College community,,No,,Important,Important,Very Important,Very Important,Very Important,Not really important,Sometimes/Occasionally,Never,Often,Often,Often,Never,No,No,No,Democrat,Yes,Liberal,I am sure that I VOTED in the 2024 Presidential Election,Kamala Harris,"Reposting information regarding current events to your story/page/etc.,Signing online petitions,Debating opinions or ideas with others with whom you disagree",Very important,Very important,Very important,Very important,Very important,Very important,No,,,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,No,No,No,No,Mostly Untrue,Mostly Untrue,Mostly True,Mostly True,My participation has increased. I am more involved than I was in my first semester.,No,Yes,Yes,Yes,I am as engaged as the average WAC student,Somewhat familiar,I feel a strong sense of belonging,2028,No,English,"Creative Writing ",Man,"European American or White,Hispanic/Latinx",
2025-03-28 14:49:30,2025-03-28 15:03:56,IP Address,172.58.243.167,100,866,True,2025-03-28 15:03:57,R_3cVCoWmxxAftx7j,,,,,38.9635,-76.9672,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Teaching or mentorship,Fundraising,Making donations to charities,Volunteering or doing community service,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members",Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Often,Often,Often,Sometimes,Rarely,Sometimes,Your home community,,Yes,Less than 4 hours per month,Important,Very Important,Important,Important,Important,Important,Never,Often,Never,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Yes,Yes,No,Republican,No,Middle of the Road,"I thought about voting in the 2024 Presidential Election, but DIDN’T",Donald Trump,"Signing online petitions,Posting your own opinions regarding current events,Debating opinions or ideas with others with whom you disagree",Very important,Important,Very important,Very important,Important,Important,No,,,Yes,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,No,Yes,No,No,Mostly True,Mostly True,Very True,Mostly True,My participation has decreased. I am less involved now than I was in my first semester.,Yes,Yes,I don't know,Yes,I am as engaged as the average WAC student,Unfamiliar,I feel a sense of belonging,2028,No,"Anthropology ",Archaeology,Woman,European American or White,
2025-03-28 15:02:48,2025-03-28 15:13:00,IP Address,71.179.207.219,100,612,True,2025-03-28 15:13:02,R_1fdfbzMRGQcpJDS,,,,,39.4332,-76.6546,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Volunteering or doing community service,Participating in research with community members",Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Sometimes,Very Often,Often,Often,Rarely,Sometimes,The Washington College community,,Yes,4 to 8 hours per month,Not really important,Important,Not really important,Very Important,Important,Important,Never,Sometimes/Occasionally,Never,Sometimes/Occasionally,Sometimes/Occasionally,Often,Yes,No,No,Republican,Yes,Middle of the Road,I DID NOT vote in the 2024 Presidential Election,I don't remember,"Following accounts/pages that post about current events,Reposting information regarding current events to your story/page/etc.,Liking posts regarding current events",Very important,Very important,Very important,Very important,Very important,Very important,No,,,Yes,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Yes,No,No,Yes,Yes,Very True,Very True,Very True,Mostly True,My participation has increased. I am more involved than I was in my first semester.,Yes,Yes,Yes,Yes,I am more engaged than the average WAC student,Somewhat familiar,I feel a sense of belonging,2025,No,clinical/counseling psychology and human development with concentration in elementary education,n/a,Woman,European American or White,
2025-03-28 15:37:30,2025-03-28 15:45:57,IP Address,66.191.183.147,100,506,True,2025-03-28 15:45:57,R_5j8PKS6msa2JHpm,,,,,35.0471,-82.0901,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Teaching or mentorship,Fundraising,Volunteering or doing community service,Activism or awareness raising activities,Participating in research with community members,Service-learning experiences with a class",Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Rarely,Sometimes,Often,Sometimes,Rarely,Rarely,Your home community,,No,,Not really important,Important,Important,Important,Very Important,Important,Never,Sometimes/Occasionally,Never,Sometimes/Occasionally,Often,Sometimes/Occasionally,No,No,No,Republican,Yes,Conservative,"I usually vote, but I DIDN’T vote in the 2024 Presidential Election",Donald Trump,Signing online petitions,Very important,Very important,Important,Very important,Very important,Important,No,,,Yes,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,No,Yes,Yes,Yes,No,Mostly True,Mostly True,Very True,Very True,My participation has increased. I am more involved than I was in my first semester.,Yes,Yes,Yes,Yes,I am more engaged than the average WAC student,Unfamiliar,I feel a strong sense of belonging,2025,No,"Psychology and Sociology ","Justice, Law, and Society ",Woman,European American or White,
2025-03-28 15:51:01,2025-03-28 15:56:07,IP Address,76.78.85.53,100,306,True,2025-03-28 15:56:08,R_7LuFoapoY1Y5D7v,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Contributing to community businesses with a social cause",Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,The Chestertown or local community,,Yes,4 to 8 hours per month,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Sometimes/Occasionally,Often,Often,Often,Often,Often,Yes,Yes,No,Independent,Yes,Middle of the Road,I am sure that I VOTED in the 2024 Presidential Election,Kamala Harris,"Following accounts/pages that post about current events,Reposting information regarding current events to your story/page/etc.,Signing online petitions,Debating opinions or ideas with others with whom you disagree,Liking posts regarding current events",Unimportant,Unimportant,Very important,Important,Important,Important,Yes,"The Elm,Kent County News,Eastern Shore Post,Shore Daily News",Connected,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,No,No,Yes,Yes,Very True,Very True,Very True,Very True,My participation has increased. I am more involved than I was in my first semester.,Yes,Yes,Yes,Yes,I am much more engaged than the average WAC student,Very familiar,I feel a strong sense of belonging,2025,No,Political Science and Communications,N/A,Woman,European American or White,
2025-03-28 17:20:26,2025-03-28 17:33:16,IP Address,174.192.249.25,100,769,True,2025-03-28 17:33:16,R_15LrKFLUlL5BJkr,,,,,38.9034,-76.9882,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Contributing to community businesses with a social cause",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Rarely,Never,Rarely,Sometimes,Sometimes,Rarely,The Chestertown or local community,,Yes,Less than 4 hours per month,Not really important,Important,Important,Important,Very Important,Not really important,Never,Sometimes/Occasionally,Never,Sometimes/Occasionally,Sometimes/Occasionally,Never,Yes,No,No,Democrat,Yes,Liberal,I am sure that I VOTED in the 2024 Presidential Election,Kamala Harris,"Following accounts/pages that post about current events,Reposting information regarding current events to your story/page/etc.,Signing online petitions,Debating opinions or ideas with others with whom you disagree",Important,Very important,Important,Important,Very important,Unimportant,No,,,No,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Agree,Agree,Neutral,Neutral,No,No,Yes,No,No,Mostly Untrue,Mostly Untrue,Very True,Mostly Untrue,My participation has decreased. I am less involved now than I was in my first semester.,No,Yes,No,I don't know,I am less engaged than the average WAC student,Unfamiliar,I feel a strong sense of belonging,2025,No,"Psychology and sociology ",,Woman,European American or White,
2025-03-28 19:02:05,2025-03-28 19:08:11,IP Address,38.240.18.63,100,365,True,2025-03-28 19:08:12,R_7rDr1vXsViwVhF7,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Political engagement,Teaching or mentorship,Volunteering or doing community service,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members",Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Agree,Sometimes,Often,Often,Often,Sometimes,Sometimes,The Chestertown or local community,,No,,Important,Very Important,Important,Important,Important,Important,Never,Sometimes/Occasionally,Never,Never,Never,Sometimes/Occasionally,Yes,No,No,Independent,No,Conservative,"I thought about voting in the 2024 Presidential Election, but DIDN’T",Donald Trump,"Following accounts/pages that post about current events,Reposting information regarding current events to your story/page/etc.,Following elected officials or other representatives on social media",Important,Very important,Very important,Important,Important,Important,No,,,Yes,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,No,Yes,No,No,Mostly Untrue,Mostly Untrue,Mostly Untrue,Mostly Untrue,My participation has increased. I am more involved than I was in my first semester.,No,Yes,I don't know,I don't know,I am less engaged than the average WAC student,Somewhat familiar,I feel a sense of belonging,2026,No,"Biology ","Chemistry ",Woman,European American or White,
2025-03-29 08:15:07,2025-03-29 08:22:55,IP Address,76.78.85.65,100,468,True,2025-03-29 08:22:56,R_6mCjXt9Bc4FQMRb,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Very Often,Very Often,Very Often,Very Often,Very Often,Sometimes,The Washington College community,,Yes,4 to 8 hours per month,Important,Important,Very Important,Important,Very Important,Not really important,Sometimes/Occasionally,Sometimes/Occasionally,Often,Often,Often,Sometimes/Occasionally,Yes,Yes,Yes,Democrat,Yes,Liberal,I am sure that I VOTED in the 2024 Presidential Election,Kamala Harris,"Following accounts/pages that post about current events,Reposting information regarding current events to your story/page/etc.,Signing online petitions,Posting your own opinions regarding current events,Following elected officials or other representatives on social media,Liking posts regarding current events",Important,Important,Very important,Important,Important,Important,Yes,"The Elm,The Chestertown Spy,Kent County News,Eastern Shore Post",Connected,Yes,Agree,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Agree,Agree,Yes,Yes,Yes,No,Yes,Very True,Very True,Very True,Very True,My participation has decreased. I am less involved now than I was in my first semester.,No,Yes,I don't know,I don't know,I am much more engaged than the average WAC student,Familiar,I feel little sense of belonging,2026,No,"Business/ Psychology ",,Woman,"European American or White,Middle Eastern/North African",
2025-03-30 10:50:25,2025-03-30 11:02:37,IP Address,76.78.85.27,100,731,True,2025-03-30 11:02:38,R_5ojtGlrFFulIfS0,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Fundraising,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events",Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Sometimes,Often,Often,Often,Often,Rarely,The Chestertown or local community,,Yes,Less than 4 hours per month,Important,Important,Very Important,Important,Very Important,Important,Sometimes/Occasionally,Sometimes/Occasionally,Never,Sometimes/Occasionally,Often,Sometimes/Occasionally,Yes,Yes,Yes,Democrat,No,Liberal,I am sure that I VOTED in the 2024 Presidential Election,Kamala Harris,"Following accounts/pages that post about current events,Reposting information regarding current events to your story/page/etc.,Signing online petitions,Posting your own opinions regarding current events",Very important,Very important,Very important,Very important,Very important,Important,Yes,The Elm,Connected,Yes,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,No,No,No,Mostly True,Very True,Very True,Very True,My participation has increased. I am more involved than I was in my first semester.,Yes,Yes,Yes,Yes,I am as engaged as the average WAC student,Somewhat familiar,I feel a sense of belonging,2028,No,history,"art history & museum, field, and community education",Woman,European American or White,
2025-03-30 15:37:55,2025-03-30 15:48:15,IP Address,76.78.85.9,100,619,True,2025-03-30 15:48:15,R_52OZQ2yO1WS692t,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Teaching or mentorship,Fundraising,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Participating in research with community members,Contributing to community businesses with a social cause",Somewhat agree,Agree,Disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Your home community,,Yes,4 to 8 hours per month,Important,Important,Very Important,Very Important,Very Important,Very Important,Never,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Often,Never,Yes,Yes,No,Democrat,No,Liberal,I DID NOT vote in the 2024 Presidential Election,I don't remember,"Following accounts/pages that post about current events,Reposting information regarding current events to your story/page/etc.,Signing online petitions,Liking posts regarding current events",Very important,Very important,Very important,Very important,Very important,Very important,No,,,Yes,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Neutral,Yes,Yes,No,No,No,Mostly True,Mostly True,Mostly True,Very True,My participation has stayed the same. I am as involved now as I was in my first semester.,No,I don't know,I don't know,I don't know,I am less engaged than the average WAC student,Very unfamiliar,I feel neutral about my belonging,2028,No,Physics and Maths,"Data Science ",Woman,African American or Black,
2025-03-30 21:46:06,2025-03-30 21:59:14,IP Address,76.78.85.27,100,787,True,2025-03-30 21:59:14,R_6rUfxynwuAl47bV,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Contributing to community businesses with a social cause",Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Agree,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Your home community,,Yes,Less than 4 hours per month,Not really important,Important,Important,Not really important,Important,Not really important,Never,Sometimes/Occasionally,Never,Never,Sometimes/Occasionally,Sometimes/Occasionally,Yes,Yes,Yes,Independent,Yes,Liberal,"I thought about voting in the 2024 Presidential Election, but DIDN’T",I don't remember,"Following accounts/pages that post about current events,Reposting information regarding current events to your story/page/etc.,Signing online petitions",Important,Important,Important,Important,Important,Important,No,,,Yes,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,No,No,No,No,No,Mostly Untrue,Mostly Untrue,Mostly True,Mostly True,My participation has increased. I am more involved than I was in my first semester.,No,Yes,I don't know,Yes,I am less engaged than the average WAC student,Unfamiliar,I feel little sense of belonging,2028,No,"Elementary Education ","Psychology ",Woman,Hispanic/Latinx,3178957
